FIT101,LIT101, MV101,P101,P102, AIT201,AIT202,AIT203,FIT201,Attack
2.427057,522.8467,2,2,1,262.0161,8.396437,328.6337,2.445391,0
2.446274,522.886,2,2,1,262.0161,8.396437,328.6337,2.445391,0
2.489191,522.8467,2,2,1,262.0161,8.394514,328.6337,2.442316,0
2.53435,522.9645,2,2,1,262.0161,8.394514,328.6337,2.442316,0
2.56926,523.4748,2,2,1,262.0161,8.394514,328.6337,2.443085,0
2.609294,523.8673,2,2,1,262.0161,8.394514,328.6337,2.44411,0
2.637158,524.1028,2,2,1,262.0161,8.394514,328.6337,2.44411,0
2.652211,524.2206,2,2,1,262.0161,8.394514,328.6337,2.441803,0
2.655735,524.4954,2,2,1,262.0161,8.394514,328.6337,2.441803,0
2.64997,524.0636,2,2,1,262.0161,8.394514,328.6337,2.441803,0
2.630433,524.1028,2,2,1,262.0161,8.394514,328.6337,2.441803,0
2.621785,523.7496,2,2,1,262.0161,8.391951,328.6337,2.441803,0
2.61602,523.4355,2,2,1,262.0161,8.390669,328.6337,2.441803,0
2.599366,523.043,2,2,1,262.0161,8.390669,328.6337,2.441803,0
2.588476,522.729,2,2,1,262.0161,8.390669,328.6337,2.441803,0
2.567979,522.6505,2,2,1,262.0161,8.390669,328.6337,2.441803,0
2.556769,522.6897,2,2,1,262.0161,8.390669,328.6337,2.441803,0
2.53435,522.6897,2,2,1,262.0161,8.390669,328.6081,2.439881,0
2.521859,522.6505,2,2,1,262.0161,8.390669,328.3773,2.439881,0
2.502642,522.6897,2,2,1,262.0161,8.390669,328.3773,2.439881,0
2.489191,522.729,2,2,1,262.0161,8.390669,328.3773,2.439881,0
2.473497,522.5327,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.458764,522.886,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.444031,523.4355,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.434744,523.671,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.423854,523.7496,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.421932,523.8281,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.425776,524.2598,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.471575,524.1421,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.527624,524.2598,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.554847,524.6523,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.598725,524.3383,2,2,1,262.0161,8.390669,328.6337,2.439881,0
2.639721,524.5346,2,2,1,262.0161,8.390669,328.4799,2.439881,0
2.667585,524.2991,2,2,1,262.0161,8.392271,328.403,2.439881,0
2.673029,524.2991,2,2,1,262.0161,8.392271,328.403,2.439881,0
2.653172,524.2206,2,2,1,262.0161,8.392271,328.403,2.439881,0
2.629152,524.4561,2,2,1,262.0161,8.392271,328.403,2.439881,0
2.622105,524.4561,2,2,1,262.0161,8.392271,328.403,2.439881,0
2.619543,524.8486,2,2,1,262.0161,8.392271,328.403,2.439881,0
2.606412,525.3982,2,2,1,262.0161,8.392271,328.403,2.439881,0
2.589117,525.3196,2,2,1,262.0161,8.392271,328.403,2.439881,0
2.574704,525.5159,2,2,1,262.0161,8.39131,328.403,2.439881,0
2.556129,525.6729,2,2,1,262.0161,8.389067,328.403,2.439881,0
2.545559,525.9084,2,2,1,262.0161,8.389067,328.403,2.437318,0
2.524741,525.7907,2,2,1,262.0161,8.389067,328.403,2.437318,0
2.512891,525.9084,2,2,1,262.0161,8.389067,328.403,2.437318,0
2.495276,525.7122,2,2,1,262.0161,8.389067,328.4286,2.43924,0
2.480863,525.5944,2,2,1,262.0161,8.389067,328.5312,2.440393,0
2.460366,525.3196,2,2,1,262.0161,8.389067,328.5312,2.440393,0
2.448195,525.3982,2,2,1,262.0161,8.389067,328.5312,2.440393,0
2.431221,525.5944,2,2,1,262.0161,8.389067,328.5312,2.440393,0
2.420331,525.5944,2,2,1,262.0161,8.391951,328.5312,2.441675,0
2.420331,525.3982,2,2,1,262.0161,8.391951,328.5312,2.441675,0
2.435384,525.7122,2,2,1,262.0161,8.391951,328.5312,2.440906,0
2.481504,525.6729,2,2,1,262.0161,8.391951,328.5312,2.440906,0
2.519617,525.5944,2,2,1,262.0161,8.391951,328.5312,2.440906,0
2.554847,525.5944,2,2,1,262.0161,8.391951,328.5312,2.440906,0
2.602569,525.5159,2,2,1,262.0161,8.391951,328.5312,2.440906,0
2.632995,525.5159,2,2,1,262.0161,8.391951,328.5055,2.440906,0
2.649329,525.5944,2,2,1,262.0161,8.391951,328.5055,2.4427,0
2.656375,525.5159,2,2,1,262.0161,8.391951,328.403,2.443085,0
2.652211,525.1234,2,2,1,262.0161,8.391951,328.3517,2.443085,0
2.636838,525.2019,2,2,1,262.0161,8.389708,328.3517,2.441034,0
2.625628,525.2411,2,2,1,262.0161,8.389708,328.3517,2.440137,0
2.620504,524.8094,2,2,1,262.0161,8.389708,328.3517,2.440137,0
2.610575,524.4561,2,2,1,262.0161,8.389708,328.3517,2.440521,0
2.595202,524.0243,2,2,1,262.0161,8.389708,328.3517,2.441419,0
2.575345,523.9458,2,2,1,262.0161,8.389708,328.3517,2.441419,0
2.561253,523.8281,2,2,1,262.0161,8.391951,328.3517,2.441419,0
2.561253,523.8281,2,2,1,262.0161,8.391951,328.3517,2.441419,0
2.542677,524.1421,2,2,1,262.0161,8.391951,328.5568,2.441419,0
2.528905,524.3383,2,2,1,262.0161,8.391951,328.5568,2.441419,0
2.51193,524.6131,2,2,1,262.0161,8.391951,328.5568,2.442828,0
2.497518,524.6916,2,2,1,262.0161,8.391951,328.5568,2.442828,0
2.473817,524.4561,2,2,1,262.0161,8.391951,328.5568,2.440137,0
2.463248,524.7309,2,2,1,262.0161,8.391951,328.4286,2.440137,0
2.44179,524.6916,2,2,1,262.0161,8.391951,328.4286,2.440137,0
2.431221,525.0842,2,2,1,262.0161,8.391951,328.4286,2.440137,0
2.421932,525.2411,2,2,1,262.0161,8.391951,328.4286,2.440137,0
2.420011,525.5159,2,2,1,262.0161,8.391951,328.4286,2.440137,0
2.447875,525.3196,2,2,1,262.0161,8.394835,328.4286,2.440137,0
2.500721,526.0262,2,2,1,262.0161,8.394835,328.4286,2.440137,0
2.543958,526.4973,2,2,1,262.0161,8.394835,328.4286,2.440137,0
2.570861,526.8898,2,2,1,262.0161,8.394835,328.4286,2.441034,0
2.614739,527.2038,2,2,1,262.0161,8.394835,328.4286,2.441034,0
2.645806,527.3608,2,2,1,262.2084,8.394835,328.4286,2.441034,0
2.665023,527.4786,2,2,1,262.2084,8.394835,328.4286,2.441034,0
2.666944,527.7534,2,2,1,262.2084,8.393553,328.4286,2.441547,0
2.6394,528.2244,2,2,1,262.2084,8.391951,328.4286,2.443597,0
2.620824,527.8711,2,2,1,261.9841,8.391951,328.4286,2.444751,0
2.61634,528.0281,2,2,1,261.9841,8.391951,328.4286,2.444751,0
2.61602,527.7534,2,2,1,261.9841,8.391951,328.4286,2.444751,0
2.609294,527.4393,2,2,1,261.9841,8.391951,328.4286,2.443085,0
2.584313,527.2823,2,2,1,261.9841,8.391951,328.4286,2.442316,0
2.572463,527.2823,2,2,1,261.9841,8.391951,328.4286,2.442188,0
2.554847,527.3608,2,2,1,261.9841,8.391951,328.4286,2.442188,0
2.542036,526.8113,2,2,1,261.9841,8.39163,328.4286,2.442188,0
2.520257,526.5757,2,2,1,261.9841,8.39163,328.4286,2.442188,0
2.508407,525.8692,2,2,1,261.9841,8.39163,328.4286,2.443469,0
2.491112,525.3982,2,2,1,261.9841,8.39163,328.4286,2.444751,0
2.476059,525.0842,2,2,1,261.9841,8.39163,328.4286,2.444751,0
2.460045,524.8879,2,2,1,261.9841,8.39163,328.4286,2.444751,0
2.445953,524.4561,2,2,1,261.9841,8.39163,328.4286,2.444751,0
2.42994,524.1028,2,2,1,261.9841,8.39163,328.4286,2.444751,0
2.428658,524.0636,2,2,1,261.9841,8.39163,328.4286,2.444751,0
2.426737,523.8673,2,2,1,262.1764,8.39163,328.4286,2.444751,0
2.444992,523.4748,2,2,1,262.1764,8.39163,328.4286,2.445263,0
2.492714,523.3177,2,2,1,262.1764,8.39163,328.4286,2.44616,0
2.533709,523.4355,2,2,1,262.1764,8.39163,328.4286,2.44616,0
2.574064,523.0823,2,2,1,262.1764,8.39163,328.4286,2.44616,0
2.602569,523.1608,2,2,1,262.1764,8.39163,328.4286,2.444623,0
2.637158,523.2393,2,2,1,262.1764,8.39163,328.4286,2.444623,0
2.654774,523.514,2,2,1,262.1443,8.39163,328.4286,2.441803,0
2.66214,523.8673,2,2,1,262.1443,8.39163,328.4286,2.439625,0
2.647407,524.2206,2,2,1,262.1443,8.39163,328.4286,2.43924,0
2.630433,524.2206,2,2,1,262.1443,8.39163,328.4286,2.43924,0
2.622426,524.0636,2,2,1,262.1443,8.39163,328.4286,2.441803,0
2.620184,523.9458,2,2,1,262.1443,8.39163,328.4286,2.441803,0
2.608013,523.4748,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.586875,523.5533,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.574064,523.8281,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.560292,523.7496,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.541716,524.0636,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.520898,524.5346,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.509688,524.5346,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.487269,525.0056,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.46581,525.5944,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.455241,525.9084,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.439868,525.9869,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.428338,526.0655,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.427057,526.0655,2,2,1,262.1443,8.39163,328.4286,2.440137,0
2.424174,526.8898,2,2,1,262.1443,8.39163,328.4286,2.443085,0
2.452359,527.1646,2,2,1,262.1443,8.39163,328.4286,2.443597,0
2.501041,527.6748,2,2,1,262.1443,8.39163,328.4286,2.443597,0
2.550043,527.5571,2,2,1,262.1443,8.39163,328.4286,2.443597,0
2.576306,527.4001,2,2,1,262.1443,8.39163,328.4286,2.4427,0
2.619223,526.8505,2,2,1,262.1443,8.39163,328.4286,2.439881,0
2.644525,526.8505,2,2,1,262.1443,8.39163,328.4286,2.439881,0
2.668225,526.2617,2,2,1,262.1443,8.39163,328.4286,2.439881,0
2.668225,526.2617,2,2,1,262.1443,8.39163,328.4286,2.439881,0
2.671748,525.5944,2,2,1,262.1443,8.39163,328.2748,2.439881,0
